Sun,1.988500E+30,-1.165314109209344E+06,5.870304463842129E+05,2.871823980209095E+04,-6.301651651153085E-03,-1.392947535979595E-02,2.143189392561596E-04
Mercury,3.302E+23,1.973221565303336E+07,-6.303179606336921E+07,-7.086258442697719E+06,3.651226462072476E+01,1.766570501743392E+01,-1.907670918925158E+00
Venus,4.8685E+24,11.046826725498619E+08,2.401920879356152E+07,-5.761262666247711E+06,-7.703239639217760E+00,3.402026018023395E+01,9.093525688817650E-01
Earth,5.97219E+24,9.264332456934464E+07,1.151093930006209E+08,2.985344842844456E+04,-2.352931146327386E+01,1.873990627082799E+01,1.192902183433375E-03
Mars,6.4171E+23,1.074271701293045E+08,-1.788815360136795E+08,-6.400353617590986E+06,2.164285708593497E+01,1.460811328370002E+01,-2.256974020141191E-01
Jupiter,1898.13E+24,6.190099247177719E+08,-4.265380109727054E+08,-1.209225205123231E+07,7.236943184358430E+00,1.137064641821268E+01,-2.090709279790115E-01
Saturn,5.6834E+26,1.331381973710437E+09,4.363204527244626E+08,-6.053811629542090E+07,-3.518711280796261E+00,9.162044236957568E+00,-2.034198785182451E-02
Uranus,86.813E+24,1.821556743047652E+09,-2.341216501492189E+09,-3.229966736497283E+07,5.324229974685167E+00,3.865446808791706E+00,-5.467562315605812E-02
Neptune,102.413E+24,2.204637586747781E+09,-3.932944893328673E+09,3.018321458587527E+07,4.705902942673183E+00,2.689288904838400E+00,-1.631780934108341E-01
Pluto,1.307E+22,-1.826974464828420E+09,-3.989278106842687E+09,9.553455327015046E+08,5.108982512177199E+00,-3.064875986884047E+00,-1.157067267536056E+00
